Id,abstract,authors,category,date,link,primary_subject,subjects,title
arXiv:1907.00011,"  Inelastic dark matter and strongly interacting dark matter are poorly
constrained by direct detection experiments since they both require the
scattering event to deliver energy from the nucleus into the dark matter in
order to have observable effects. We propose to test these scenarios by
searching for the collisional de-excitation of meta-stable nuclear isomers by
the dark matter particles. The longevity of these isomers is related to a
strong suppression of $\gamma$- and $\beta$-transitions, typically inhibited by
a large difference in the angular momentum for the nuclear transition. The
collisional de-excitation by dark matter is possible since heavy dark matter
particles can have a momentum exchange with the nucleus comparable to the
inverse nuclear size, hence lifting tremendous angular momentum suppression of
the nuclear transition. This de-excitation can be observed either by searching
for the direct effects of the decaying isomer, or through the re-scattering or
decay of excited dark matter states in a nearby conventional dark matter
detector setup. Existing nuclear isomer sources such as naturally occurring
$^{180m}$Ta, $^{137m}$Ba produced in decaying Cesium in nuclear waste,
$^{177m}$Lu from medical waste, and $^{178m}$Hf from the Department of Energy
storage can be combined with current dark matter detector technology to search
for this class of dark matter.
","Maxim Pospelov,Surjeet Rajendran,Harikrishnan Ramani",High Energy Physics - Phenomenology,"Fri, 28 Jun 2019 18:00:04 UTC (2,641 KB)",https://arxiv.org/pdf/1907.00011.pdf,High Energy Physics - Phenomenology (hep-ph),Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Experiment (hep-ex); Nuclear Experiment (nucl-ex); Nuclear Theory (nucl-th),Metastable Nuclear Isomers as Dark Matter Accelerators
arXiv:1907.00012,"  We uncover a rich phenomenology of the self-organized honeycomb network
superstructure of one-dimensional metals in a nearly-commensurate
charge-density wave 1T-TaS2, which may play a significant role in understanding
global topology of phase diagrams and superconductivity. The key observation is
that the emergent honeycomb network magically supports a cascade of flat bands,
whose unusual stability we thoroughly investigate. Furthermore, by combining
the weak-coupling mean-field and strong-coupling approaches, we argue that the
superconductivity will be strongly enhanced in the network. This provides a
natural cooperative mechanism of the charge order and superconductivity, which
coexist side-by-side in the 1T-TaS2. Not only the superconductivity, we show
that abundant topological band structures including several symmetry-protected
band crossings and corner states, which are closely related to that of the
higher-order topology, appear. The results reported here can be generically
applicable to various other systems with similar network superstructures.
","Jongjun M. Lee,Chenhua Geng,Jae Whan Park,Masaki Oshikawa,Sung-Sik Lee,Han Woong Yeom,Gil Young Cho",Condensed Matter,"Mon, 5 Aug 2019 06:12:51 UTC (7,781 KB)",https://arxiv.org/pdf/1907.00012.pdf,Strongly Correlated Electrons (cond-mat.str-el),Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Materials Science (cond-mat.mtrl-sci); Superconductivity (cond-mat.supr-con),"Flat Bands, Topology, and Superconductivity of ""Magic"" Honeycomb Network in TaS2"
arXiv:1907.00013,"  We present detections of [OIII]$\lambda$4363 and direct-method metallicities
for star-forming galaxies at $z=1.7-3.6$. We combine new measurements from the
MOSFIRE Deep Evolution Field (MOSDEF) survey with literature sources to
construct a sample of 18 galaxies with direct-method metallicities at $z>1$,
spanning $7.5<1$2+log(O/H$)<8.2$ and log(M$_*$/M$_{\odot})=7-10$. We find that
strong-line calibrations based on local analogs of high-redshift galaxies
reliably reproduce the metallicity of the $z>1$ sample on average. We construct
the first mass-metallicity relation at $z>1$ based purely on direct-method O/H,
finding a slope that is consistent with strong-line results. Direct-method O/H
evolves by $\lesssim0.1$ dex at fixed M$_*$ and SFR from $z\sim0-2.2$. We
employ photoionization models to constrain the ionization parameter and
ionizing spectrum in the high-redshift sample. Stellar models with super-solar
O/Fe and binary evolution of massive stars are required to reproduce the
observed strong-line ratios. We find that the $z>1$ sample falls on the
$z\sim0$ relation between ionization parameter and O/H, suggesting no evolution
of this relation from $z\sim0$ to $z\sim2$. These results suggest that the
offset of the strong-line ratios of this sample from local excitation sequences
is driven primarily by a harder ionizing spectrum at fixed nebular metallicity
compared to what is typical at $z\sim0$, naturally explained by super-solar
O/Fe at high redshift caused by rapid formation timescales. Given the extreme
nature of our $z>1$ sample, the implications for representative $z\sim2$ galaxy
samples at $\sim10^{10}$ M$_{\odot}$ are unclear, but similarities to $z>6$
galaxies suggest that these conclusions can be extended to galaxies in the
epoch of reionization.
","Ryan L. Sanders,Alice E. Shapley,Naveen A. Reddy,Mariska Kriek,Brian Siana,Alison L. Coil,Bahram Mobasher,Irene Shivaei,William R. Freeman,Mojegan Azadi,Sedona H. Price,Gene Leung,Tara Fetherolf,Laura de Groot,Tom Zick,Francesca M. Fornasini,Guillermo Barro",Astrophysics,"Sat, 26 Oct 2019 01:47:42 UTC (4,877 KB)",https://arxiv.org/pdf/1907.00013.pdf,Astrophysics of Galaxies (astro-ph.GA),Astrophysics of Galaxies (astro-ph.GA),The MOSDEF Survey: Direct-Method Metallicities and ISM Conditions at $z\sim1.5-3.5$
arXiv:1907.00014,"  Short-period (P<1 hour) white dwarf binaries will be the most numerous
sources for the space-based gravitational wave detector LISA. Based on
thousands of resolved systems, we will be able to constrain binary evolution
and provide a new map of the Milky Way and its surroundings. Here we predict
the main properties of populations of different types of detached white dwarf
binaries detected by LISA. For the first time, we combine a high-resolution
cosmological simulation of a Milky Way-mass galaxy (from the FIRE project) with
a binary population synthesis model for low and intermediate mass stars. Our
model therefore provides a cosmologically realistic star formation and
metallicity history for the galaxy and naturally produces its different
components such as the thin and thick disk, the bulge, the stellar halo, and
satellite galaxies and streams. With the simulation, we show how different
galactic components contribute differently to the gravitational wave signal,
due to their typical age and distance distributions. We find that the dominant
LISA sources will be He-He systems and He-CO systems with important
contributions from the thick disk and bulge but also a few systems in the
stellar halo. The resulting sky map of the sources is different from previous
models, with important consequences for the searches for electromagnetic
counterparts and data analysis. We also emphasize that much of the
science-enabling information regarding white dwarf binaries, such as the chirp
mass and the sky localisation, becomes increasingly rich with long
observations, including an extended mission up to 8 years.
","Astrid Lamberts,Sarah Blunt,Tyson Littenberg,Shea Garrison-Kimmel,Thomas Kupfer,Robyn Sanderson",Astrophysics,"Fri, 28 Jun 2019 18:00:06 UTC (5,087 KB)",https://arxiv.org/pdf/1907.00014.pdf,High Energy Astrophysical Phenomena (astro-ph.HE),General Relativity and Quantum Cosmology (gr-qc),Predicting the LISA white dwarf binary population in the Milky Way with cosmological simulations
arXiv:1907.00015,"  We study effects of heating by dark matter (DM) annihilation on black hole
gas accretion. We observe that, for reasonable assumptions about DM densities
in spikes around supermassive black holes, as well as DM masses and
annihilation cross-sections within the standard WIMP model, heating by DM
annihilation may have an appreciable effect on the accretion onto Sgr A$^*$ in
the Galactic center. Motivated by this observation we study the effects of such
heating on Bondi accretion, i.e. spherically symmetric, steady-state Newtonian
accretion onto a black hole. We consider different adiabatic indices for the
gas, and different power-law exponents for the DM density profile. We find that
typical transonic solutions with heating have a significantly reduced accretion
rate. However, for many plausible parameters, transonic solutions do not exist,
suggesting a breakdown of the underlying assumptions of steady-state Bondi
accretion. Our findings indicate that heating by DM annihilation may play an
important role in the accretion onto supermassive black holes at the center of
galaxies, and may help explain the low accretion rate observed for Sgr A$^*$.
","Elizabeth R. Bennewitz,Cristian Gaidau,Thomas W. Baumgarte,Stuart L. Shapiro",Astrophysics,"Thu, 3 Oct 2019 18:26:04 UTC (2,458 KB)",https://arxiv.org/pdf/1907.00015.pdf,High Energy Astrophysical Phenomena (astro-ph.HE),General Relativity and Quantum Cosmology (gr-qc),Dark matter heating of gas accreting onto Sgr A$^*$
arXiv:1907.00016,"  Recently born magnetars are promising candidates for the engines powering
fast radio bursts (FRBs). The focus thus far has been placed on millisecond
magnetars born in rare core-collapse explosions, motivated by the star forming
dwarf host galaxy of the repeating FRB 121102, which is remarkably similar to
the hosts of superluminous supernovae (SLSNe) and long gamma-ray bursts (LGRB).
However, long-lived magnetars may also be created in binary neutron star (BNS)
mergers, in the small subset of cases with a sufficiently low total mass for
the remnant to avoid collapse to a black hole, or in the accretion-induced
collapse (AIC) of a white dwarf. A BNS FRB channel will be characterized by
distinct host galaxy and spatial offset distributions than the SLSNe/LGRB
channel; we anticipate a similar host population, although possibly different
offset distribution for AIC events. We show that both the BNS and AIC channels
are consistent with the recently reported FRB 180924, localized by ASKAP to a
massive quiescent host galaxy with an offset of about 1.4 effective radii.
Using models calibrated to FRB 121102, we make predictions for the dispersion
measure, rotation measure, and persistent radio emission from magnetar FRB
sources born in BNS mergers or AIC, and show these are consistent with upper
limits from FRB 180924 for reasonable parameters. Depending on the rate of AIC,
and the fraction of BNS mergers leaving long-lived stable magnetars, the birth
rate of repeating FRB sources associated with older stellar populations could
be comparable to that of the core-collapse channel. We also discuss potential
differences in the repetition properties of these channels, as a result of
differences in the characteristic masses and magnetic fields of the magnetars.
","Ben Margalit,Edo Berger,Brian D. Metzger",Astrophysics,"Fri, 28 Jun 2019 18:00:16 UTC (281 KB)",https://arxiv.org/pdf/1907.00016.pdf,High Energy Astrophysical Phenomena (astro-ph.HE),High Energy Astrophysical Phenomena (astro-ph.HE),Fast Radio Bursts from Magnetars Born in Binary Neutron Star Mergers and Accretion Induced Collapse
arXiv:1907.00017,"  The initial value problem for a multivalued differential equation is studied,
which is governed by the sum of a monotone, hemicontinuous, coercive operator
fulfilling a certain growth condition and a Volterra integral operator in time
of convolution type with exponential decay. The two operators act on different
Banach spaces where one is not embedded in the other. The set-valued right-hand
side is measurable and satisfies certain continuity and growth conditions.
Existence of a solution is shown via a generalisation of the Kakutani
fixed-point theorem.
","André Eikmeier,Etienne Emmrich",Mathematics,"Fri, 28 Jun 2019 18:01:46 UTC (23 KB)",https://arxiv.org/pdf/1907.00017.pdf,Analysis of PDEs (math.AP),Analysis of PDEs (math.AP),On a multivalued differential equation with nonlocality in time
arXiv:1907.00018,"  How does removal of sites by a random walk lead to blockage of percolation?
To study this problem of correlated site percolation, we consider a random walk
(RW) of $N=uL^d$ steps on a $d$-dimensional hypercubic lattice of size $L^d$
(with periodic boundaries). We systematically explore dependence of the
probability $\Pi_d(L,u)$ of percolation (existence of a spanning cluster) of
sites not removed by the RW on $L$ and $u$. The concentration of unvisited
sites decays exponentially with increasing $u$, while the visited sites are
highly correlated -- their correlations decaying with the distance $r$ as
$1/r^{d-2}$ (in $d>2$). Upon increasing $L$, the percolation probability
$\Pi_d(L,u)$ approaches a step function, jumping from 1 to 0 when $u$ crosses a
percolation threshold $u_c$ that is close to 3 for all $3\le d\le6$. Within
numerical accuracy, the correlation length associated with percolation diverges
with exponents consistent with $\nu=2/(d-2)$. There is no percolation threshold
at the lower critical dimension of $d=2$, with the percolation probability
approaching a smooth function $\Pi_2(\infty,u)>0$.
","Yacov Kantor,Mehran Kardar",Condensed Matter,"Tue, 20 Aug 2019 19:03:25 UTC (167 KB)",https://arxiv.org/pdf/1907.00018.pdf,Statistical Mechanics (cond-mat.stat-mech),Statistical Mechanics (cond-mat.stat-mech),Percolation of sites not removed by a random walker in $d$ dimensions
arXiv:1907.00019,"  We construct birational maps that satisfy the parametric set-theoretical
Yang-Baxter equation and its entwining generalisation. For this purpose, we
employ Darboux transformations related to integrable Nonlinear Schrödinger
type equations and study the refactorisation problems of the product of their
associated Darboux matrices. Additionally, we study various algebraic
properties of the derived maps, such as invariants and associated symplectic or
Poisson structures, and we prove their complete integrability in the Liouville
sense.
","S. Konstantinou-Rizos,G. Papamikos",Nonlinear Sciences,"Fri, 28 Jun 2019 18:10:38 UTC (13 KB)",https://arxiv.org/pdf/1907.00019.pdf,Exactly Solvable and Integrable Systems (nlin.SI),Exactly Solvable and Integrable Systems (nlin.SI),Entwining Yang-Baxter maps related to NLS type equations
arXiv:1907.00020,"  We consider an approach to training machine learning systems that are fair in
the sense that their performance is invariant under certain perturbations to
the features. For example, the performance of a resume screening system should
be invariant under changes to the name of the applicant or switching the gender
pronouns. We connect this intuitive notion of algorithmic fairness to
individual fairness and study how to certify ML algorithms as algorithmically
fair. We also demonstrate the effectiveness of our approach on three machine
learning tasks that are susceptible to gender and racial biases.
","Mikhail Yurochkin,Amanda Bower,Yuekai Sun",Statistics,"Fri, 28 Jun 2019 18:11:25 UTC (1,727 KB)",https://arxiv.org/pdf/1907.00020.pdf,Machine Learning (stat.ML),Machine Learning (cs.LG),Learning fair predictors with Sensitive Subspace Robustness
arXiv:1907.00021,"  In this work we explore the possibility to fix the number of new
non-sequential chiral-type generations of fermions that could be added to the
standard model by combining the condition that arise from the anomalies
cancellation with the restriction in the number of flavors impose by the QCD
asymptotic freedom. We found that the maximum number of new generations is
four, and that allows us at the same time, to place limits for the electrical
charges of quarks and leptons within an SM-like framework. Our result is
compatible with the constraints involving new generations and their
contributions to the oblique parameters $S$ and $T$.
","Elmer Ramirez Barreto,David Romero Abad",High Energy Physics - Phenomenology,"Fri, 28 Jun 2019 18:11:36 UTC (9 KB)",https://arxiv.org/pdf/1907.00021.pdf,High Energy Physics - Phenomenology (hep-ph),High Energy Physics - Theory (hep-th),Fixing the number of non-sequential generations within the $SU(2)_{L}\otimes U(1)_{Y}$ gauge group
arXiv:1907.00022,"  Boson Sampling is the problem of sampling from the same distribution as
indistinguishable single photons at the output of a linear optical
interferometer. It is an example of a non-universal quantum computation which
is believed to be feasible in the near term and cannot be simulated on a
classical machine. Like all purported demonstrations of ""quantum supremacy"",
this motivates optimizing classical simulation schemes for a realistic model of
the problem, in this case Boson Sampling when the implementations experience
lost or distinguishable photons. Although current simulation schemes for
sufficiently imperfect boson sampling are classically efficient, in principle
the polynomial runtime can be infeasibly large. In this work, we develop a
scheme for classical simulation of Boson Sampling under uniform
distinguishability and loss, based on the idea of sampling from distributions
where at most k photons are indistinguishable. We show that asymptotically this
scheme can provide a polynomial improvement in the runtime compared to
classically simulating idealised Boson Sampling. More significantly, we show
that in the regime considered experimentally relevant, our approach gives an
substantial improvement in runtime over other classical simulation approaches.
","Alexandra E. Moylett,Raúl García-Patrón,Jelmer J. Renema,Peter S. Turner",Quantum Physics,"Fri, 28 Jun 2019 18:11:55 UTC (64 KB)",https://arxiv.org/pdf/1907.00022.pdf,Quantum Physics (quant-ph),Quantum Physics (quant-ph),Classically simulating near-term partially-distinguishable and lossy boson sampling
arXiv:1907.00023,"  Assuming dislocations could be meaningfully described by torsion, we propose
here a scenario based on the role of time in the low-energy regime of
two-dimensional Dirac materials, for which coupling of the fully antisymmetric
component of the torsion with the emergent spinor is not necessarily zero.
Appropriate inclusion of time is our proposal to overcome well-known
geometrical obstructions to such a program, that stopped further research of
this kind. In particular, our approach is based on the realization of an exotic
time-loop, that could be seen as oscillating particle-hole pairs. Although this
is a theoretical paper, we moved the first steps towards testing the
realization of these scenarios, by envisaging Gedankenexperiments on the
interplay between an external electromagnetic field (to excite the pair
particle-hole and realize the time-loops), and a suitable distribution of
dislocations described as torsion (responsible for the measurable holonomy in
the time-loop, hence a current). Our general analysis here establishes that we
need to move to a nonlinear response regime. We then conclude by pointing to
recent results from the interaction laser-graphene that could be used to look
for manifestations of the torsion-induced holonomy of the time-loop, e.g., as
specific patterns of suppression/generation of higher harmonics.
","Marcelo F. Ciappina,Alfredo Iorio,Pablo Pais,Adamantia Zampeli",High Energy Physics - Theory,"Fri, 8 Nov 2019 19:00:22 UTC (640 KB)",https://arxiv.org/pdf/1907.00023.pdf,High Energy Physics - Theory (hep-th),Materials Science (cond-mat.mtrl-sci); General Relativity and Quantum Cosmology (gr-qc),Torsion in quantum field theory through time-loops on Dirac materials
arXiv:1907.00024,"  We construct and study the reduced, relative, genus one Gromov-Witten theory
of very ample pairs. These invariants form the principal component contribution
to relative Gromov-Witten theory in genus one and are relative versions of
Zinger's reduced Gromov-Witten invariants. We relate the relative and absolute
theories by degeneration of the tangency conditions, and the resulting formulas
generalise a well-known recursive calculation scheme put forward by Gathmann in
genus zero. The geometric input is a desingularisation of the principal
component of the moduli space of genus one logarithmic stable maps to a very
ample pair, using the geometry of elliptic singularities. Our study passes
through general techniques for calculating integrals on logarithmic blowups of
moduli spaces of stable maps, which may be of independent interest.
","Luca Battistella,Navid Nabijou,Dhruv Ranganathan",Mathematics,"Fri, 28 Jun 2019 18:20:02 UTC (118 KB)",https://arxiv.org/pdf/1907.00024.pdf,Algebraic Geometry (math.AG),Algebraic Geometry (math.AG),Curve counting in genus one: elliptic singularities & relative geometry
